school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,16,U,GT3,T,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,6,0.85,0.85,17
GP,F,16,U,GT3,T,4.0,4.0,services,services,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,3.0,2.0,3.0,1.0,2.0,2.0,10,0.65,0.65,14
GP,F,16,U,GT3,T,3.0,3.0,other,other,reputation,mother,3.0,2.0,0.0,yes,yes,no,yes,yes,yes,no,no,5.0,3.0,2.0,1.0,2.0,4.0,2,0.65,0.7,14
GP,M,17,U,GT3,T,3.0,2.0,services,services,course,mother,1.0,1.0,3.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,3.0,2.0,4.0,5.0,2,0.4,0.4,7
GP,M,16,U,LE3,T,4.0,3.0,health,other,home,father,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,1.0,3.0,1.0,3.0,5.0,6,0.6,0.6,12
GP,M,15,U,GT3,T,4.0,3.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,4.0,1.0,1.0,1.0,1.0,0,0.6,0.65,14
GP,M,15,U,GT3,T,4.0,4.0,health,health,other,father,1.0,1.0,0.0,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0,0.55,0.6,12
GP,M,16,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,0,0.6,0.65,14
GP,M,16,U,LE3,T,3.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,2.0,4.0,5.0,2,0.5,0.5,10
GP,F,15,R,GT3,T,2.0,4.0,services,health,course,mother,2.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,2.0,5.0,2,0.5,0.55,10
GP,F,16,U,GT3,T,2.0,2.0,services,services,home,mother,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,6,0.5,0.55,12
GP,M,15,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,8,0.55,0.6,12
GP,M,15,U,GT3,T,4.0,2.0,health,services,other,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,0,0.55,0.55,11
GP,M,16,U,GT3,A,3.0,4.0,services,other,home,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,2,0.6,0.6,13
GP,M,16,U,GT3,T,4.0,4.0,teacher,teacher,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,4,0.6,0.55,12
GP,M,15,U,GT3,T,4.0,4.0,health,services,home,mother,1.0,2.0,0.0,no,yes,yes,no,no,yes,yes,no,5.0,4.0,2.0,3.0,4.0,4.0,0,0.5,0.55,11
GP,M,15,U,GT3,T,4.0,4.0,services,services,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,2,0.75,0.75,15
GP,M,15,R,GT3,T,4.0,3.0,teacher,at_home,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0,0.65,0.7,15
GP,M,15,U,LE3,T,3.0,3.0,other,other,course,mother,1.0,2.0,0.0,no,no,no,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0,0.65,0.6,12
GP,M,16,U,LE3,T,3.0,2.0,other,other,home,mother,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,4,0.6,0.6,12
GP,F,15,U,GT3,T,2.0,3.0,other,other,other,father,2.0,2.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,5.0,1.0,1.0,1.0,5.0,4,0.55,0.55,11
GP,M,15,U,LE3,T,3.0,3.0,teacher,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,1.0,4.0,0,0.7,0.7,14
GP,M,16,R,GT3,A,4.0,4.0,other,teacher,reputation,mother,2.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,4,0.65,0.65,13
GP,F,15,R,GT3,T,3.0,4.0,services,health,course,mother,1.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2,0.55,0.6,12
GP,F,15,R,GT3,T,2.0,2.0,at_home,other,reputation,mother,1.0,1.0,0.0,yes,yes,no,yes,yes,yes,no,no,4.0,3.0,1.0,1.0,1.0,2.0,8,0.7,0.65,12
GP,F,16,U,LE3,T,2.0,2.0,other,other,home,mother,2.0,2.0,0.0,no,yes,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,4.0,16,0.55,0.55,10
GP,M,15,U,LE3,T,4.0,4.0,teacher,other,home,other,1.0,1.0,0.0,no,yes,no,no,no,yes,yes,yes,5.0,4.0,3.0,2.0,2.0,5.0,8,0.5,0.55,11
GP,M,15,U,GT3,T,4.0,4.0,services,teacher,course,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,0,0.7,0.75,15
GP,M,15,U,GT3,T,2.0,2.0,services,services,course,father,1.0,1.0,0.0,yes,yes,no,no,yes,yes,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0,0.45,0.5,10
GP,F,16,U,LE3,T,2.0,2.0,other,at_home,course,father,2.0,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,14,0.5,0.55,11
GP,F,15,U,LE3,A,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,4,0.5,0.55,11
GP,F,16,U,LE3,A,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,6,0.65,0.6,13
GP,M,16,U,GT3,T,4.0,3.0,health,services,reputation,mother,1.0,4.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,2.0,2.0,1.0,1.0,2.0,2,0.85,0.85,17
GP,M,15,U,GT3,T,4.0,2.0,teacher,other,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,no,4.0,3.0,3.0,2.0,2.0,5.0,4,0.55,0.6,13
GP,F,15,U,GT3,T,4.0,4.0,services,teacher,other,father,1.0,2.0,0.0,yes,yes,no,yes,no,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,2,0.65,0.6,12
GP,F,16,U,LE3,T,2.0,2.0,services,services,course,mother,3.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,4.0,0,0.7,0.65,13
GP,F,15,U,LE3,T,4.0,2.0,services,other,other,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,0,0.8,0.7,16
GP,M,15,U,LE3,A,4.0,2.0,health,health,other,father,2.0,1.0,0.0,no,no,no,no,yes,yes,no,no,5.0,5.0,5.0,3.0,4.0,5.0,4,0.5,0.45,9
GP,F,15,U,GT3,A,4.0,4.0,services,services,course,mother,1.0,1.0,0.0,yes,yes,no,no,yes,yes,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0,0.65,0.6,12
GP,F,15,U,LE3,A,3.0,3.0,other,other,other,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,0,0.65,0.6,13
GP,F,16,U,GT3,A,2.0,1.0,other,other,other,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,yes,4.0,3.0,4.0,1.0,1.0,2.0,2,0.6,0.65,12
GP,F,15,U,GT3,A,4.0,3.0,services,services,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,1.0,0,0.75,0.7,15
GP,M,15,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,no,no,3.0,2.0,2.0,1.0,1.0,5.0,8,0.75,0.75,16
GP,M,15,U,LE3,T,1.0,2.0,other,at_home,home,father,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0,0.7,0.65,14
GP,F,16,U,GT3,T,4.0,2.0,other,other,course,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,3.0,1.0,1.0,5.0,2,0.8,0.75,16
GP,F,16,R,GT3,T,4.0,4.0,other,teacher,other,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,no,no,4.0,4.0,4.0,2.0,3.0,4.0,0,0.85,0.8,16
GP,F,16,U,GT3,T,1.0,1.0,services,services,course,father,4.0,1.0,0.0,yes,yes,no,yes,no,yes,yes,yes,5.0,5.0,5.0,1.0,5.0,5.0,0,0.5,0.5,16
GP,F,16,U,LE3,T,1.0,2.0,other,services,reputation,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,no,4.0,4.0,3.0,1.0,1.0,1.0,0,0.65,0.65,10
GP,F,16,U,GT3,T,4.0,3.0,teacher,health,home,mother,1.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,3.0,4.0,4.0,2.0,4.0,4.0,0,0.7,0.65,13
GP,F,15,U,LE3,T,4.0,3.0,services,services,reputation,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,4.0,4.0,4.0,2.0,4.0,2.0,0,0.65,0.6,12
GP,F,16,U,LE3,T,4.0,3.0,teacher,services,course,mother,3.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,3.0,1.0,2.0,1.0,2,0.8,0.75,16
GP,M,15,U,GT3,A,4.0,4.0,other,services,reputation,mother,2.0,4.0,0.0,no,yes,no,yes,no,yes,yes,yes,1.0,3.0,3.0,5.0,5.0,3.0,0,0.55,0.6,12
GP,F,16,U,GT3,T,3.0,1.0,services,other,course,mother,1.0,4.0,0.0,yes,yes,no,no,yes,yes,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,0,0.5,0.45,10
GP,F,15,R,LE3,T,2.0,2.0,health,services,reputation,mother,2.0,2.0,0.0,yes,yes,no,no,yes,yes,yes,no,4.0,1.0,3.0,1.0,3.0,4.0,0,0.55,0.5,11
GP,F,15,R,LE3,T,3.0,1.0,other,other,reputation,father,2.0,4.0,0.0,no,yes,no,no,no,yes,yes,no,4.0,4.0,2.0,2.0,3.0,3.0,6,0.75,0.75,15
GP,M,16,U,GT3,T,3.0,1.0,other,other,reputation,father,2.0,4.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2,0.65,0.55,11
GP,M,15,U,GT3,T,4.0,2.0,other,other,course,mother,1.0,4.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,3.0,3.0,1.0,1.0,3.0,0,0.55,0.45,10
GP,F,15,R,GT3,T,1.0,1.0,other,other,reputation,mother,1.0,2.0,0.0,yes,yes,no,no,no,yes,yes,no,3.0,3.0,4.0,2.0,4.0,5.0,2,0.65,0.55,11
GP,M,16,U,GT3,T,3.0,1.0,other,other,reputation,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,no,no,5.0,3.0,2.0,2.0,2.0,5.0,0,0.65,0.65,14
GP,F,16,U,GT3,T,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,4.0,5.0,4,0.55,0.55,11
GP,M,15,U,GT3,T,4.0,3.0,teacher,other,home,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,5.0,0,0.55,0.55,11
GP,M,15,U,GT3,T,4.0,0.0,teacher,other,course,mother,2.0,4.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,4.0,3.0,1.0,1.0,1.0,0,0.6,0.55,11
GP,F,16,U,GT3,T,2.0,2.0,other,other,reputation,mother,1.0,4.0,0.0,no,no,no,no,yes,yes,yes,yes,5.0,2.0,3.0,1.0,3.0,3.0,1,0.65,0.65,13
GP,M,17,U,GT3,T,2.0,1.0,other,other,home,mother,2.0,1.0,3.0,yes,yes,no,yes,yes,no,yes,no,4.0,5.0,1.0,1.0,1.0,3.0,0,0.45,0.45,10
GP,F,16,U,GT3,T,3.0,4.0,at_home,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,4.0,3.0,1.0,2.0,3.0,14,0.6,0.55,11
GP,M,15,U,GT3,T,2.0,3.0,other,services,course,father,1.0,1.0,0.0,yes,yes,no,yes,no,yes,yes,yes,3.0,2.0,2.0,1.0,3.0,3.0,0,0.55,0.55,12
GP,M,15,U,GT3,T,2.0,3.0,other,other,home,mother,1.0,3.0,0.0,yes,no,no,no,no,yes,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,2,0.5,0.45,9
GP,F,15,U,LE3,T,3.0,2.0,services,other,reputation,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,1.0,5.0,4,0.6,0.55,11
GP,M,15,U,LE3,T,2.0,2.0,services,services,home,mother,2.0,2.0,0.0,no,no,yes,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,3.0,4.0,2,0.65,0.6,13
GP,F,15,U,GT3,T,1.0,1.0,other,other,home,father,1.0,2.0,0.0,no,yes,no,yes,no,yes,yes,no,4.0,3.0,2.0,2.0,3.0,4.0,2,0.65,0.6,12
GP,F,15,U,GT3,T,4.0,4.0,services,services,reputation,father,2.0,2.0,0.0,no,no,no,no,yes,yes,yes,yes,4.0,4.0,4.0,2.0,3.0,5.0,4,0.6,0.55,12
GP,F,16,U,GT3,T,2.0,2.0,at_home,other,course,father,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,2.0,2.0,6,0.65,0.55,11
GP,F,15,U,GT3,T,4.0,2.0,other,other,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,2.0,1.0,4,0.75,0.75,15
GP,M,16,U,GT3,T,2.0,2.0,services,other,reputation,father,2.0,2.0,0.0,no,no,no,yes,no,yes,yes,no,4.0,4.0,2.0,1.0,1.0,3.0,6,0.6,0.5,11
GP,M,16,U,LE3,A,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,no,4.0,1.0,3.0,3.0,5.0,5.0,6,0.45,0.45,10
GP,F,16,U,GT3,T,3.0,3.0,other,other,home,mother,1.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,3.0,3.0,1.0,3.0,4.0,2,0.45,0.55,11
GP,F,15,U,GT3,T,4.0,3.0,services,other,reputation,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,5.0,1.0,3.0,1.0,6,0.7,0.65,13
GP,F,16,U,LE3,T,3.0,1.0,other,other,home,father,1.0,2.0,0.0,yes,yes,no,no,yes,yes,no,no,3.0,3.0,3.0,2.0,3.0,2.0,0,0.6,0.65,12
GP,F,16,U,GT3,T,4.0,2.0,teacher,services,home,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,1.0,2,0.65,0.7,14
GP,M,15,U,LE3,T,2.0,2.0,services,health,home,mother,1.0,4.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,4.0,1.0,1.0,4.0,2,0.55,0.6,12
GP,F,15,R,GT3,T,1.0,1.0,at_home,other,home,mother,2.0,4.0,0.0,yes,yes,yes,yes,yes,yes,yes,no,3.0,1.0,2.0,1.0,1.0,1.0,4,0.65,0.65,13
GP,M,16,R,GT3,T,4.0,3.0,services,other,reputation,mother,2.0,1.0,0.0,yes,yes,yes,yes,no,yes,yes,no,3.0,3.0,3.0,1.0,1.0,4.0,6,0.45,0.55,11
GP,F,16,U,GT3,T,2.0,1.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,no,yes,4.0,3.0,5.0,1.0,1.0,5.0,0,0.65,0.6,12
GP,F,16,U,GT3,T,3.0,4.0,other,other,reputation,mother,1.0,1.0,0.0,no,no,no,yes,no,yes,yes,no,5.0,3.0,4.0,1.0,2.0,1.0,4,0.6,0.65,13
GP,F,16,U,GT3,T,4.0,3.0,other,at_home,course,mother,1.0,3.0,0.0,yes,yes,no,no,yes,yes,yes,no,5.0,3.0,5.0,1.0,1.0,3.0,2,0.6,0.65,13
GP,M,16,U,GT3,T,4.0,4.0,services,services,course,mother,1.0,1.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,5.0,5.0,5.0,5.0,4.0,12,0.45,0.45,8
GP,M,16,U,GT3,T,4.0,4.0,services,teacher,other,father,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,4.0,3.0,1.0,1.0,4.0,0,0.8,0.8,16
GP,M,15,U,GT3,T,4.0,4.0,services,other,course,mother,1.0,1.0,0.0,no,yes,yes,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,2,0.6,0.65,12
GP,F,15,U,GT3,T,3.0,2.0,services,other,home,mother,2.0,2.0,0.0,yes,yes,no,no,yes,yes,yes,no,4.0,3.0,5.0,1.0,2.0,2.0,16,0.55,0.5,10
GP,M,15,U,GT3,A,3.0,4.0,services,other,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,1.0,1.0,1.0,0,0.8,0.8,16
GP,F,15,U,GT3,A,3.0,3.0,other,health,reputation,father,1.0,4.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,3.0,1.0,1.0,4.0,10,0.5,0.5,10
GP,F,15,U,GT3,T,2.0,2.0,other,other,course,mother,1.0,4.0,0.0,yes,yes,no,no,yes,yes,yes,no,4.0,1.0,2.0,1.0,1.0,3.0,4,0.5,0.5,10
GP,M,16,U,GT3,T,3.0,3.0,services,other,home,father,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,4.0,4,0.65,0.7,14
GP,M,15,R,GT3,T,4.0,4.0,other,other,home,father,4.0,4.0,0.0,no,yes,no,yes,yes,yes,yes,yes,1.0,3.0,5.0,3.0,5.0,1.0,8,0.6,0.5,11
GP,F,16,U,LE3,T,4.0,4.0,health,health,other,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,4.0,5.0,1.0,1.0,4.0,2,0.75,0.75,14
GP,M,15,U,LE3,A,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,5.0,5.0,3.0,1.0,1.0,4.0,4,0.65,0.7,14
GP,F,16,R,GT3,T,3.0,3.0,services,other,reputation,father,1.0,3.0,0.0,yes,yes,no,yes,yes,yes,yes,no,4.0,1.0,2.0,1.0,1.0,2.0,4,0.55,0.55,11
GP,F,16,U,GT3,T,2.0,2.0,at_home,other,home,mother,1.0,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,3.0,1.0,2.0,1.0,1.0,5.0,12,0.4,0.5,10
GP,M,15,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,5.0,2.0,1.0,1.0,3.0,10,0.9,0.85,18
GP,M,15,R,GT3,T,2.0,1.0,health,services,reputation,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,yes,5.0,4.0,2.0,1.0,1.0,5.0,4,0.5,0.45,10
GP,M,16,U,GT3,T,4.0,4.0,teacher,teacher,course,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,1.0,2.0,5.0,6,0.8,0.7,14
GP,M,15,U,GT3,T,4.0,4.0,other,teacher,reputation,father,2.0,2.0,0.0,no,,no,yes,yes,yes,no,no,4.0,4.0,3.0,1.0,1.0,2.0,4,0.8,0.75,16
GP,M,16,U,GT3,T,3.0,3.0,other,services,home,father,2.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,6,0.7,0.7,15
GP,M,17,R,GT3,T,1.0,3.0,other,other,course,father,3.0,2.0,1.0,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,4.0,1.0,4.0,5.0,14,0.6,0.55,11
GP,M,15,U,GT3,T,3.0,4.0,other,other,reputation,father,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,4.0,3.0,1.0,2.0,4.0,2,0.7,0.65,14
GP,F,15,U,GT3,T,1.0,2.0,at_home,services,course,mother,2.0,2.0,0.0,no,no,no,no,no,yes,yes,no,3.0,2.0,3.0,1.0,2.0,1.0,0,0.7,0.7,14
GP,M,15,U,GT3,T,2.0,2.0,services,services,home,father,1.0,4.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,5.0,4.0,1.0,2.0,5.0,6,0.7,0.65,13
GP,F,16,U,LE3,T,2.0,4.0,other,health,course,father,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,2.0,2.0,1.0,2.0,5.0,2,0.7,0.6,13
GP,M,16,U,GT3,T,4.0,4.0,health,other,course,mother,1.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,3.0,4.0,4.0,1.0,4.0,5.0,4,0.6,0.65,13
GP,F,16,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,no,no,no,yes,yes,yes,yes,4.0,4.0,4.0,1.0,1.0,5.0,0,0.6,0.55,11
GP,M,15,U,GT3,T,3.0,4.0,services,services,home,father,1.0,1.0,0.0,yes,no,no,no,yes,yes,yes,no,5.0,5.0,5.0,3.0,2.0,5.0,2,0.45,0.45,9
GP,F,15,U,LE3,A,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,yes,5.0,3.0,2.0,1.0,1.0,1.0,0,0.5,0.55,11
GP,F,19,U,GT3,T,0.0,1.0,at_home,other,course,other,1.0,2.0,2.0,no,yes,no,no,no,no,no,no,3.0,4.0,2.0,1.0,1.0,5.0,0,0.45,0.5,11
GP,M,16,R,GT3,T,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,3.0,5.0,5.0,2.0,5.0,4.0,8,0.7,0.7,15
GP,M,16,U,GT3,T,2.0,3.0,other,other,course,mother,2.0,3.0,0.0,no,yes,no,no,no,yes,yes,yes,3.0,2.0,3.0,2.0,2.0,1.0,4,0.65,0.6,13
GP,F,15,R,GT3,T,3.0,4.0,services,teacher,course,father,2.0,3.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,2.0,2.0,2.0,2.0,5.0,0,0.5,0.55,12
GP,F,18,U,GT3,T,2.0,1.0,services,other,reputation,mother,1.0,2.0,3.0,no,yes,no,yes,yes,no,yes,yes,5.0,4.0,5.0,1.0,3.0,5.0,10,0.5,0.45,8
GP,F,17,U,LE3,A,2.0,1.0,other,other,reputation,mother,3.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,3.0,2.0,2.0,1.0,2.0,5.0,8,0.55,0.5,11
GP,F,15,U,GT3,T,1.0,1.0,at_home,other,course,mother,3.0,1.0,0.0,no,yes,no,yes,no,yes,yes,yes,4.0,3.0,3.0,1.0,2.0,4.0,6,0.55,0.6,13
GP,F,17,U,LE3,T,2.0,2.0,other,other,course,father,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,yes,3.0,4.0,4.0,1.0,3.0,5.0,2,0.65,0.6,12
