,Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
39,39,GP,F,15,R,GT3,T,2.0,2.0,at_home,other,reputation,mother,1.0,1.0,0.0,1,1.0,0,1,1,1,0.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,8,14,13,12
40,40,GP,F,16,U,LE3,T,2.0,2.0,other,other,home,mother,2.0,2.0,0.0,0,1.0,0,1,0,1,1.0,1.0,3.0,3.0,3.0,NaN,2.0,3.0,16,11,11,10
41,41,GP,M,15,U,LE3,T,4.0,4.0,teacher,other,home,other,1.0,1.0,0.0,0,1.0,0,0,0,1,1.0,1.0,5.0,4.0,3.0,2.0,4.0,5.0,8,10,11,11
42,42,GP,M,15,U,GT3,T,4.0,4.0,services,teacher,course,father,1.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,NaN,3.0,3.0,1.0,1.0,5.0,0,14,15,15
43,43,GP,M,15,U,GT3,T,2.0,2.0,services,services,course,father,1.0,1.0,0.0,1,1.0,0,0,1,1,1.0,0.0,5.0,4.0,1.0,1.0,1.0,NaN,0,9,10,10
44,44,GP,F,16,U,LE3,T,2.0,2.0,other,at_home,course,father,2.0,2.0,1.0,1,NaN,0,1,1,1,1.0,0.0,4.0,3.0,3.0,2.0,2.0,5.0,14,10,11,11
45,45,GP,F,15,U,LE3,A,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,1,1.0,1,1,1,1,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,4,10,11,11
46,46,GP,F,16,U,LE3,A,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,0,1.0,0,0,1,1,1.0,0.0,2.0,3.0,5.0,1.0,4.0,3.0,6,13,12,13
47,47,GP,M,16,U,GT3,T,4.0,3.0,health,services,reputation,NaN,1.0,4.0,0.0,0,0.0,0,1,1,1,1.0,0.0,4.0,2.0,2.0,1.0,1.0,NaN,2,17,17,17
48,48,GP,M,15,U,GT3,T,4.0,2.0,teacher,other,home,mother,1.0,2.0,0.0,0,1.0,0,0,1,1,0.0,0.0,4.0,3.0,3.0,2.0,2.0,5.0,4,11,12,13
49,49,GP,F,15,U,GT3,T,4.0,4.0,services,teacher,other,father,1.0,2.0,0.0,1,1.0,0,1,0,1,1.0,0.0,4.0,4.0,4.0,1.0,1.0,3.0,2,13,12,12
50,50,GP,F,16,U,LE3,T,2.0,2.0,services,services,course,mother,3.0,2.0,0.0,0,1.0,0,0,1,1,1.0,0.0,4.0,3.0,NaN,2.0,3.0,4.0,0,14,13,13
51,51,GP,F,15,U,LE3,T,4.0,2.0,health,other,other,mother,1.0,2.0,0.0,0,1.0,0,0,1,1,1.0,0.0,4.0,3.0,3.0,1.0,1.0,5.0,0,16,14,16
52,52,GP,M,15,U,LE3,A,4.0,2.0,health,health,other,father,2.0,1.0,0.0,0,0.0,0,0,1,1,0.0,0.0,5.0,5.0,5.0,3.0,4.0,5.0,4,10,9,9
53,53,GP,F,15,U,GT3,T,4.0,4.0,services,services,course,mother,1.0,1.0,0.0,1,1.0,0,0,1,1,1.0,0.0,3.0,3.0,4.0,2.0,3.0,5.0,0,13,12,12
54,54,GP,F,15,U,LE3,A,3.0,3.0,other,other,other,mother,1.0,1.0,0.0,0,0.0,0,0,1,1,1.0,0.0,5.0,3.0,4.0,4.0,4.0,1.0,0,13,12,13
55,55,GP,F,16,U,GT3,A,2.0,1.0,other,other,other,mother,1.0,2.0,0.0,0,0.0,0,1,1,1,1.0,NaN,5.0,3.0,4.0,1.0,1.0,2.0,2,12,13,12
56,56,GP,F,15,U,GT3,A,4.0,3.0,services,services,reputation,mother,1.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,0,15,14,15
57,57,GP,M,15,U,GT3,T,4.0,4.0,teacher,health,reputation,mother,1.0,2.0,NaN,0,1.0,0,1,1,1,0.0,0.0,3.0,2.0,2.0,1.0,1.0,5.0,8,15,15,16
58,58,GP,M,15,U,LE3,T,1.0,2.0,other,at_home,home,father,1.0,2.0,0.0,1,1.0,0,1,1,1,1.0,0.0,4.0,3.0,2.0,1.0,1.0,5.0,0,14,13,14
59,59,GP,F,16,U,GT3,T,4.0,2.0,services,other,course,mother,1.0,2.0,0.0,0,1.0,1,0,1,1,1.0,0.0,4.0,2.0,3.0,1.0,1.0,5.0,2,16,15,16
60,60,GP,F,16,R,GT3,T,4.0,4.0,health,teacher,other,mother,1.0,2.0,0.0,0,1.0,0,1,1,1,0.0,0.0,NaN,4.0,4.0,2.0,3.0,4.0,0,17,16,16
61,61,GP,F,16,U,GT3,T,1.0,1.0,services,services,course,father,4.0,1.0,0.0,1,1.0,0,1,0,1,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,0,10,10,16
62,62,GP,F,16,U,LE3,T,1.0,2.0,other,services,reputation,father,1.0,2.0,0.0,1,0.0,0,1,1,1,1.0,0.0,4.0,4.0,3.0,1.0,1.0,1.0,0,13,13,10
63,63,GP,F,16,U,GT3,T,4.0,3.0,NaN,health,home,mother,1.0,3.0,0.0,1,1.0,0,1,1,1,1.0,0.0,3.0,4.0,4.0,2.0,4.0,4.0,0,14,13,13
64,64,GP,F,15,U,LE3,T,4.0,3.0,services,services,reputation,father,1.0,2.0,0.0,1,0.0,0,1,1,1,1.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,0,13,12,12
65,65,GP,F,16,U,LE3,T,4.0,3.0,teacher,services,course,mother,3.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,4.0,3.0,1.0,2.0,1.0,2,16,15,16
66,66,GP,M,15,U,GT3,A,4.0,4.0,other,services,reputation,mother,1.0,4.0,0.0,0,1.0,0,1,0,1,1.0,1.0,1.0,NaN,3.0,5.0,5.0,3.0,0,11,12,12
67,67,GP,F,16,U,GT3,T,3.0,1.0,services,other,course,mother,1.0,4.0,0.0,1,1.0,0,0,1,1,1.0,0.0,4.0,3.0,3.0,1.0,2.0,5.0,0,10,9,10
68,68,GP,F,15,R,LE3,NaN,2.0,2.0,health,services,reputation,mother,2.0,2.0,0.0,1,1.0,0,0,1,1,1.0,0.0,4.0,1.0,3.0,1.0,3.0,4.0,0,11,10,11
69,69,GP,F,15,R,LE3,T,3.0,1.0,other,other,reputation,father,2.0,4.0,0.0,0,1.0,0,0,0,1,1.0,0.0,4.0,4.0,2.0,2.0,3.0,3.0,6,15,15,15
70,70,GP,M,16,U,GT3,T,3.0,1.0,other,other,reputation,father,2.0,4.0,0.0,0,1.0,0,0,1,1,1.0,0.0,4.0,3.0,2.0,1.0,1.0,5.0,2,13,11,11
71,71,GP,M,15,U,GT3,T,4.0,2.0,other,other,course,mother,1.0,4.0,0.0,0,0.0,0,0,1,1,1.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,0,11,9,10
72,72,GP,F,15,R,GT3,T,1.0,1.0,other,other,reputation,mother,1.0,2.0,0.0,1,1.0,0,0,0,1,1.0,1.0,3.0,3.0,4.0,2.0,4.0,5.0,2,13,11,11
73,73,GP,M,16,U,GT3,T,3.0,1.0,other,other,reputation,mother,1.0,1.0,0.0,0,0.0,0,1,1,1,0.0,0.0,5.0,3.0,2.0,2.0,2.0,5.0,0,13,13,14
74,74,GP,F,16,U,GT3,T,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,1,1.0,0,1,1,1,1.0,0.0,4.0,3.0,3.0,2.0,4.0,5.0,4,11,11,11
75,75,GP,M,15,U,GT3,T,4.0,3.0,teacher,other,home,mother,1.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,4.0,3.0,3.0,2.0,3.0,5.0,0,11,11,11
76,76,GP,M,15,U,GT3,T,4.0,0.0,teacher,other,course,mother,2.0,4.0,0.0,0,0.0,0,1,1,1,1.0,0.0,3.0,4.0,3.0,1.0,1.0,1.0,0,12,11,11
77,77,GP,F,16,U,GT3,T,2.0,2.0,other,other,reputation,mother,1.0,4.0,0.0,0,0.0,0,0,1,1,1.0,1.0,5.0,2.0,3.0,1.0,3.0,3.0,1,13,13,13
78,78,GP,M,17,U,GT3,T,2.0,1.0,other,other,home,mother,2.0,1.0,3.0,1,1.0,0,1,1,0,1.0,0.0,4.0,5.0,1.0,1.0,1.0,3.0,0,9,9,10
79,79,GP,F,16,U,GT3,T,3.0,4.0,at_home,NaN,course,mother,1.0,2.0,0.0,0,1.0,0,0,1,1,1.0,0.0,2.0,4.0,3.0,1.0,2.0,3.0,14,12,11,11
80,80,GP,M,15,U,GT3,T,2.0,3.0,other,services,course,NaN,1.0,1.0,0.0,1,1.0,0,1,0,1,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,0,11,11,12
81,81,GP,M,15,U,GT3,T,2.0,3.0,other,other,home,mother,1.0,3.0,0.0,1,0.0,0,0,0,1,1.0,0.0,5.0,3.0,NaN,1.0,2.0,5.0,2,10,9,9
82,82,GP,F,15,U,LE3,T,3.0,2.0,services,other,reputation,mother,1.0,2.0,0.0,0,1.0,0,0,1,1,1.0,0.0,4.0,4.0,4.0,1.0,1.0,5.0,4,12,11,11
83,83,GP,M,15,U,LE3,T,2.0,2.0,services,services,home,mother,2.0,2.0,0.0,0,0.0,1,1,1,1,1.0,0.0,5.0,3.0,3.0,1.0,3.0,4.0,2,13,12,13
84,84,GP,F,15,U,GT3,T,1.0,1.0,other,other,home,father,1.0,2.0,0.0,0,1.0,0,1,0,1,1.0,0.0,4.0,3.0,2.0,2.0,3.0,4.0,2,13,12,12
85,85,GP,F,15,U,GT3,T,4.0,4.0,services,services,reputation,father,2.0,2.0,0.0,0,0.0,0,0,1,1,1.0,1.0,4.0,4.0,4.0,2.0,3.0,5.0,4,12,11,12
86,86,GP,F,16,U,LE3,T,2.0,2.0,at_home,other,course,mother,1.0,2.0,0.0,0,1.0,0,0,1,1,0.0,0.0,4.0,3.0,4.0,1.0,2.0,2.0,6,13,11,11
87,87,GP,F,15,U,NaN,T,4.0,2.0,other,other,reputation,mother,1.0,3.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,3.0,3.0,1.0,3.0,1.0,4,15,15,15
88,88,GP,M,16,U,GT3,T,2.0,2.0,services,other,reputation,father,2.0,2.0,0.0,0,0.0,0,1,0,1,1.0,0.0,NaN,4.0,2.0,1.0,1.0,3.0,6,12,10,11
89,89,GP,M,16,U,LE3,A,NaN,4.0,teacher,health,NaN,mother,1.0,2.0,0.0,0,1.0,0,0,1,1,0.0,0.0,4.0,1.0,3.0,3.0,5.0,5.0,6,9,9,10
90,90,GP,F,16,U,GT3,T,NaN,3.0,other,other,home,mother,1.0,3.0,0.0,0,1.0,0,0,1,1,1.0,1.0,4.0,3.0,3.0,1.0,3.0,4.0,2,9,11,11
91,91,GP,F,15,U,GT3,T,4.0,3.0,services,other,reputation,mother,1.0,1.0,0.0,0,0.0,0,1,1,1,1.0,0.0,4.0,5.0,5.0,1.0,3.0,1.0,6,14,13,13
92,92,GP,F,16,U,LE3,T,3.0,1.0,other,other,home,father,1.0,2.0,0.0,1,1.0,0,0,1,1,0.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,0,12,13,12
93,93,GP,F,16,U,GT3,T,4.0,2.0,teacher,services,home,mother,2.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,3.0,3.0,1.0,1.0,1.0,2,13,14,14
94,94,GP,M,15,U,LE3,T,2.0,NaN,services,health,reputation,mother,1.0,4.0,0.0,0,1.0,0,1,1,1,1.0,0.0,NaN,3.0,4.0,1.0,1.0,4.0,2,11,12,12
95,95,GP,F,15,R,GT3,T,1.0,1.0,at_home,other,home,mother,2.0,4.0,0.0,1,1.0,1,1,1,1,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,4,13,13,13
96,96,GP,M,16,R,GT3,T,4.0,3.0,services,other,reputation,mother,2.0,1.0,0.0,1,1.0,1,1,0,1,1.0,0.0,3.0,3.0,3.0,1.0,1.0,4.0,6,9,11,11
97,97,GP,F,16,U,GT3,T,2.0,1.0,other,other,course,mother,1.0,2.0,0.0,0,1.0,0,0,1,1,0.0,1.0,4.0,3.0,5.0,1.0,1.0,5.0,0,13,12,12
98,98,GP,F,16,U,GT3,T,4.0,4.0,other,other,reputation,mother,1.0,1.0,0.0,0,0.0,0,1,0,1,1.0,0.0,5.0,3.0,4.0,1.0,2.0,1.0,4,12,13,13
99,99,GP,F,16,U,GT3,T,4.0,3.0,other,at_home,course,mother,1.0,3.0,0.0,1,1.0,0,0,1,1,1.0,0.0,5.0,3.0,5.0,1.0,1.0,3.0,2,12,13,13
100,100,GP,M,16,U,GT3,T,4.0,4.0,services,services,other,mother,1.0,1.0,0.0,1,1.0,0,1,1,1,1.0,0.0,4.0,5.0,5.0,5.0,NaN,4.0,12,9,9,8
101,101,GP,M,16,U,GT3,NaN,NaN,4.0,services,teacher,other,father,1.0,3.0,0.0,0,1.0,0,1,1,1,1.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,0,16,16,16
102,102,GP,M,15,U,GT3,T,4.0,4.0,services,other,course,mother,1.0,1.0,0.0,0,1.0,1,1,0,1,1.0,0.0,5.0,3.0,3.0,1.0,1.0,5.0,2,12,13,12
103,103,GP,F,15,U,NaN,T,3.0,2.0,services,other,home,mother,2.0,2.0,NaN,1,1.0,0,0,1,1,1.0,0.0,4.0,3.0,5.0,1.0,1.0,2.0,16,11,10,10
104,104,GP,M,15,U,GT3,A,3.0,4.0,services,other,course,mother,1.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,4.0,4.0,1.0,NaN,1.0,0,16,16,16
105,105,GP,F,15,U,GT3,A,3.0,3.0,other,health,reputation,father,1.0,4.0,0.0,1,0.0,0,0,1,1,0.0,0.0,4.0,3.0,3.0,NaN,1.0,4.0,10,10,10,10
106,106,GP,F,15,U,GT3,T,2.0,2.0,other,other,course,mother,1.0,4.0,0.0,1,1.0,0,0,1,1,1.0,0.0,5.0,1.0,2.0,1.0,1.0,3.0,4,10,10,10
107,107,GP,M,16,U,GT3,T,3.0,3.0,services,other,home,father,1.0,3.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,3.0,3.0,1.0,1.0,5.0,4,13,14,14
108,108,GP,M,15,R,GT3,T,4.0,4.0,other,other,home,father,4.0,4.0,0.0,0,1.0,0,1,1,1,1.0,1.0,1.0,3.0,5.0,3.0,5.0,1.0,8,12,10,11
109,109,GP,F,16,U,LE3,NaN,4.0,4.0,NaN,health,other,mother,1.0,3.0,0.0,0,1.0,0,1,1,1,1.0,1.0,5.0,4.0,5.0,1.0,1.0,4.0,2,15,15,14
110,110,GP,M,15,U,LE3,A,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,0,0.0,0,1,1,1,1.0,0.0,5.0,5.0,3.0,1.0,1.0,4.0,4,13,14,14
111,111,GP,F,16,R,GT3,T,3.0,3.0,services,other,reputation,father,1.0,3.0,0.0,1,1.0,0,1,1,1,1.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,4,11,11,11
112,112,GP,F,16,U,GT3,T,2.0,2.0,NaN,other,home,mother,1.0,2.0,1.0,1,0.0,0,1,1,1,1.0,0.0,3.0,1.0,2.0,1.0,1.0,5.0,12,8,10,10
113,113,GP,M,15,U,LE3,T,4.0,2.0,NaN,other,course,mother,1.0,1.0,0.0,0,0.0,0,0,1,1,1.0,0.0,NaN,5.0,2.0,1.0,1.0,3.0,10,18,17,18
114,114,GP,M,15,R,GT3,T,2.0,1.0,health,services,reputation,mother,1.0,2.0,0.0,0,0.0,0,1,1,1,1.0,1.0,5.0,4.0,2.0,1.0,NaN,5.0,4,10,9,10
115,115,GP,M,16,U,GT3,T,4.0,4.0,teacher,teacher,course,father,1.0,2.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,4.0,4.0,1.0,2.0,5.0,6,16,14,14
116,116,GP,M,15,U,GT3,T,4.0,4.0,other,teacher,reputation,father,2.0,2.0,0.0,0,1.0,0,1,1,1,0.0,0.0,4.0,4.0,3.0,1.0,1.0,2.0,4,16,15,16
117,117,GP,M,16,U,GT3,T,3.0,3.0,other,services,home,father,2.0,1.0,0.0,0,0.0,0,1,1,1,1.0,0.0,5.0,4.0,2.0,1.0,1.0,5.0,6,14,14,15
118,118,GP,M,17,R,GT3,T,1.0,3.0,other,other,course,father,3.0,2.0,1.0,0,1.0,0,1,1,1,1.0,0.0,5.0,2.0,4.0,1.0,4.0,5.0,14,12,11,11
119,119,GP,M,15,U,GT3,T,3.0,4.0,other,other,reputation,father,1.0,1.0,0.0,0,0.0,0,0,1,1,1.0,0.0,3.0,4.0,3.0,1.0,2.0,4.0,2,14,13,14
120,120,GP,F,15,U,GT3,T,1.0,2.0,at_home,services,course,mother,1.0,2.0,0.0,0,0.0,0,0,0,1,1.0,0.0,3.0,2.0,3.0,1.0,2.0,1.0,0,14,14,14
121,121,GP,M,15,U,GT3,T,2.0,2.0,services,services,home,father,1.0,4.0,0.0,0,1.0,0,1,1,1,1.0,0.0,5.0,5.0,4.0,1.0,2.0,5.0,6,14,13,13
122,122,GP,F,16,U,LE3,T,2.0,4.0,other,health,course,father,2.0,2.0,0.0,0,1.0,0,1,1,1,1.0,1.0,4.0,2.0,2.0,1.0,2.0,5.0,2,14,12,13
123,123,GP,M,16,U,GT3,T,4.0,4.0,health,other,course,mother,NaN,1.0,0.0,0,1.0,0,1,1,1,1.0,NaN,3.0,4.0,4.0,1.0,4.0,5.0,4,12,13,13
124,124,GP,F,16,U,GT3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,0,0.0,0,0,1,1,1.0,1.0,5.0,4.0,4.0,1.0,1.0,5.0,0,12,11,11
125,125,GP,M,15,U,GT3,T,3.0,4.0,services,services,home,father,1.0,1.0,0.0,1,0.0,0,0,1,1,1.0,0.0,5.0,5.0,5.0,3.0,2.0,5.0,2,9,9,9
126,126,GP,F,15,U,LE3,A,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,1,0.0,0,1,1,1,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,0,10,11,11
127,127,GP,F,19,U,GT3,T,0.0,1.0,at_home,other,course,other,1.0,2.0,2.0,0,1.0,0,0,0,0,0.0,NaN,3.0,4.0,2.0,1.0,1.0,5.0,0,9,10,11
128,128,GP,M,16,R,GT3,T,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,0,0.0,0,1,1,1,1.0,0.0,3.0,5.0,5.0,2.0,5.0,4.0,8,14,14,15
129,129,GP,M,16,U,GT3,T,2.0,3.0,other,other,course,mother,2.0,3.0,0.0,0,1.0,0,0,0,1,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,4,13,12,13
130,130,GP,F,15,R,GT3,T,3.0,4.0,services,teacher,course,father,2.0,3.0,0.0,0,1.0,0,0,1,1,1.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,0,10,11,12
131,131,GP,F,18,U,GT3,T,2.0,1.0,services,other,reputation,mother,1.0,2.0,3.0,0,1.0,0,1,1,0,1.0,1.0,5.0,4.0,NaN,1.0,3.0,5.0,10,10,9,8
132,132,GP,F,17,U,LE3,A,2.0,1.0,other,other,course,mother,3.0,1.0,0.0,0,1.0,0,0,1,1,1.0,0.0,3.0,NaN,2.0,1.0,2.0,5.0,8,11,10,11
